benchmark,interval,cluster,index,cpi,ipc
cjpeg,1000,0,0,14.048048,0.071184
cjpeg,1000,0,1,9.399000,0.106394
cjpeg,1000,0,2,4.565000,0.219058
cjpeg,1000,0,3,4.702000,0.212675
cjpeg,1000,0,4,13.015968,0.076829
cjpeg,1000,0,5,4.775776,0.209390
cjpeg,1000,0,6,5.945946,0.168182
cjpeg,1000,0,7,9.645065,0.103680
cjpeg,1000,0,8,8.590818,0.116403
cjpeg,1000,0,9,12.067864,0.082865
cjpeg,1000,1,0,4.146707,0.241155
cjpeg,1000,1,1,3.481000,0.287274
cjpeg,1000,1,2,3.512513,0.284696
cjpeg,1000,2,0,4.239239,0.235891
cjpeg,1000,2,1,4.703000,0.212630
cjpeg,1000,2,2,4.791417,0.208707
cjpeg,1000,2,3,4.340340,0.230397
cjpeg,1000,2,4,3.790000,0.263852
cjpeg,1000,2,5,3.921158,0.255027
cjpeg,1000,2,6,4.372627,0.228695
cjpeg,1000,2,7,4.086172,0.244728
cjpeg,1000,2,8,4.078000,0.245218
cjpeg,1000,2,9,3.412826,0.293012
cjpeg,1000,3,0,9.422422,0.106130
cjpeg,1000,3,1,5.767465,0.173386
cjpeg,1000,3,2,5.803393,0.172313
cjpeg,1000,3,3,11.345729,0.088139
cjpeg,1000,3,4,3.186373,0.313836
cjpeg,1000,3,5,4.703593,0.212603
cjpeg,1000,3,6,6.773000,0.147645
cjpeg,1000,3,7,7.279720,0.137368
cjpeg,1000,3,8,8.984985,0.111297
cjpeg,1000,3,9,3.989022,0.250688
cjpeg,1000,4,0,11.870389,0.084243
cjpeg,1000,4,1,0.430430,2.323256
cjpeg,1000,4,2,10.877756,0.091931
cjpeg,1000,5,0,9.831000,0.101719
cjpeg,1000,5,1,10.252505,0.097537
cjpeg,1000,5,2,9.068000,0.110278
cjpeg,1000,5,3,3.214571,0.311084
cjpeg,1000,5,4,4.559000,0.219346
cjpeg,1000,5,5,2.058058,0.485895
cjpeg,1000,5,6,2.220559,0.450337
cjpeg,1000,5,7,9.463536,0.105669
cjpeg,1000,5,8,10.709291,0.093377
cjpeg,1000,5,9,7.979960,0.125314
cjpeg,1000,6,0,2.795205,0.357756
cjpeg,1000,6,1,4.287864,0.233216
cjpeg,1000,6,2,2.554664,0.391441
cjpeg,1000,6,3,4.744511,0.210770
cjpeg,1000,6,4,3.751249,0.266578
cjpeg,1000,6,5,4.930140,0.202834
cjpeg,1000,6,6,2.910090,0.343632
cjpeg,1000,6,7,4.155622,0.240638
cjpeg,1000,6,8,2.155844,0.463855
cjpeg,1000,6,9,4.143856,0.241321
cjpeg,1000,7,0,6.591409,0.151713
cjpeg,1000,7,1,12.769539,0.078311
cjpeg,1000,7,2,14.594810,0.068518
cjpeg,1000,7,3,6.358717,0.157264
cjpeg,1000,7,4,4.315000,0.231750
cjpeg,1000,7,5,4.499499,0.222247
cjpeg,1000,7,6,9.092277,0.109983
cjpeg,1000,7,7,5.106212,0.195840
cjpeg,1000,7,8,7.470470,0.133860
cjpeg,1000,7,9,5.297405,0.188772
cjpeg,1000,8,0,2.891675,0.345820
cjpeg,1000,8,1,2.320320,0.430975
cjpeg,1000,8,2,2.188188,0.456999
cjpeg,1000,8,3,4.340000,0.230415
cjpeg,1000,8,4,3.248248,0.307858
cjpeg,1000,8,5,2.523046,0.396346
cjpeg,1000,8,6,3.288136,0.304124
cjpeg,1000,8,7,2.494483,0.400885
cjpeg,1000,8,8,2.673347,0.374063
cjpeg,1000,8,9,2.583250,0.387109
cjpeg,2000,0,0,8.116058,0.123213
cjpeg,2000,0,1,5.122939,0.195200
cjpeg,2000,0,2,10.042979,0.099572
cjpeg,2000,0,3,10.970515,0.091153
cjpeg,2000,0,4,3.562281,0.280719
cjpeg,2000,0,5,6.526289,0.153226
cjpeg,2000,0,6,6.307193,0.158549
cjpeg,2000,0,7,4.849349,0.206213
cjpeg,2000,0,8,6.364818,0.157114
cjpeg,2000,0,9,4.738392,0.211042
cjpeg,2000,1,0,4.505753,0.221938
cjpeg,2000,1,1,4.323500,0.231294
cjpeg,2000,1,2,4.130435,0.242105
cjpeg,2000,1,3,4.201299,0.238022
cjpeg,2000,1,4,3.810310,0.262446
cjpeg,2000,2,0,3.687313,0.271200
cjpeg,2000,2,1,3.714857,0.269189
cjpeg,2000,2,2,6.431284,0.155490
cjpeg,2000,3,0,3.280860,0.304798
cjpeg,2000,3,1,5.548500,0.180229
cjpeg,2000,3,2,6.799700,0.147065
cjpeg,2000,3,3,6.745373,0.148250
cjpeg,2000,3,4,2.314314,0.432093
cjpeg,2000,3,5,5.839500,0.171248
cjpeg,2000,3,6,8.208604,0.121823
cjpeg,2000,4,0,9.538577,0.104837
cjpeg,2000,4,1,12.836500,0.077903
cjpeg,2000,4,2,6.076000,0.164582
cjpeg,2000,4,3,8.023000,0.124642
cjpeg,2000,4,4,11.353500,0.088079
cjpeg,2000,4,5,9.250250,0.108105
cjpeg,2000,5,0,10.457229,0.095628
cjpeg,2000,5,1,3.234117,0.309203
cjpeg,2000,5,2,8.884384,0.112557
cjpeg,2000,5,3,9.216892,0.108496
cjpeg,2000,5,4,5.819090,0.171848
cjpeg,2000,5,5,3.275776,0.305271
cjpeg,2000,5,6,7.730135,0.129364
cjpeg,2000,5,7,7.363500,0.135805
cjpeg,2000,6,0,8.494000,0.117730
cjpeg,2000,6,1,8.050025,0.124223
cjpeg,2000,6,2,4.647972,0.215148
cjpeg,2000,7,0,2.675838,0.373715
cjpeg,2000,7,1,2.537074,0.394155
cjpeg,2000,7,2,3.816592,0.262014
cjpeg,2000,7,3,3.041521,0.328783
cjpeg,2000,7,4,3.644000,0.274424
cjpeg,2000,7,5,3.073647,0.325346
cjpeg,2000,7,6,3.029441,0.330094
cjpeg,2000,7,7,2.794294,0.357872
cjpeg,2000,7,8,2.693500,0.371264
cjpeg,2000,7,9,3.931603,0.254349
cjpeg,2000,8,0,5.647972,0.177055
cjpeg,2000,8,1,4.367948,0.228940
cjpeg,2000,8,2,4.300801,0.232515
cjpeg,2000,8,3,4.971000,0.201167
cjpeg,2000,8,4,9.933500,0.100669
cjpeg,4000,0,0,4.341165,0.230353
cjpeg,4000,0,1,4.125031,0.242422
cjpeg,4000,1,0,3.922000,0.254972
cjpeg,4000,1,1,3.894250,0.256789
cjpeg,4000,2,0,7.325337,0.136512
cjpeg,4000,3,0,4.728432,0.211487
cjpeg,4000,3,1,4.615154,0.216678
cjpeg,4000,3,2,4.374094,0.228619
cjpeg,4000,3,3,5.735566,0.174351
cjpeg,4000,3,4,5.164295,0.193637
cjpeg,4000,3,5,4.373373,0.228656
cjpeg,4000,3,6,7.427786,0.134630
cjpeg,4000,3,7,9.305153,0.107467
cjpeg,4000,3,8,4.154750,0.240688
cjpeg,4000,3,9,4.421934,0.226145
cjpeg,4000,4,0,3.392500,0.294768
