benchmark,interval,weight,cluster
cjpeg,1000,0.285714,0
cjpeg,1000,0.0153061,1
cjpeg,1000,0.0510204,2
cjpeg,1000,0.0561224,3
cjpeg,1000,0.0153061,4
cjpeg,1000,0.0714286,5
cjpeg,1000,0.255102,6
cjpeg,1000,0.0663265,7
cjpeg,1000,0.183673,8
cjpeg,16000,1,0
cjpeg,2000,0.234694,0
cjpeg,2000,0.0510204,1
cjpeg,2000,0.0306122,2
cjpeg,2000,0.0714286,3
cjpeg,2000,0.0612245,4
cjpeg,2000,0.0816327,5
cjpeg,2000,0.0306122,6
cjpeg,2000,0.387755,7
cjpeg,2000,0.0510204,8
cjpeg,32000,1,0
cjpeg,4000,0.0408163,0
cjpeg,4000,0.0408163,1
cjpeg,4000,0.0204082,2
cjpeg,4000,0.306122,3
cjpeg,4000,0.387755,4
cjpeg,4000,0.0408163,5
cjpeg,4000,0.102041,6
cjpeg,4000,0.0612245,7
cjpeg,8000,0.0416667,0
cjpeg,8000,0.958333,1
core,1000,0.0727273,0
core,1000,0.0181818,1
core,1000,0.0666667,2
core,1000,0.0181818,3
core,1000,0.557576,4
core,1000,0.0606061,5
core,1000,0.206061,6
core,16000,0.4,0
core,16000,0.2,1
core,16000,0.4,2
core,2000,0.512195,0
core,2000,0.0609756,1
core,2000,0.0487805,2
core,2000,0.0609756,3
core,2000,0.109756,4
core,2000,0.207317,5
core,32000,0.2,0
core,32000,0.2,1
core,32000,0.2,2
core,32000,0.2,3
core,32000,0.2,6
core,4000,0.0487805,0
core,4000,0.0487805,1
core,4000,0.170732,2
core,4000,0.097561,3
core,4000,0.097561,4
core,4000,0.0487805,5
core,4000,0.414634,6
core,4000,0.0731707,7
core,8000,0.9,0
core,8000,0.1,1
linear,1000,0.0108575,0
linear,1000,0.184298,1
linear,1000,0.0247773,2
linear,1000,0.00946548,3
linear,1000,0.0339644,4
linear,1000,0.0158686,5
linear,1000,0.0114143,6
linear,1000,0.121938,7
linear,1000,0.0256125,8
linear,1000,0.00361915,9
linear,1000,0.0562361,10
linear,1000,0.0103007,11
linear,1000,0.473274,12
linear,1000,0.00222717,13
linear,1000,0.00167038,14
linear,1000,0.00890869,15
linear,1000,0.00556793,16
linear,16000,0.0580357,0
linear,16000,0.120536,1
