benchmark,interval,index,ipc,cpi,cputime
zip,41500,10,0.801046,1.248368,1.44
zip,41500,0,0.800540,1.249157,1.60
zip,41500,20,0.804708,1.242687,1.60
zip,41500,21,0.803411,1.244693,1.80
zip,41500,11,0.804408,1.243151,1.44
zip,41500,1,0.802995,1.245338,1.82
zip,41500,12,0.802308,1.246404,1.64
zip,41500,22,0.804848,1.242470,1.85
zip,41500,2,0.802661,1.245855,1.47
zip,41500,13,0.802553,1.246024,1.83
zip,41500,23,0.802949,1.245410,1.75
zip,41500,3,0.800837,1.248693,1.56
zip,41500,14,0.801034,1.248386,1.77
zip,41500,4,0.803430,1.244663,1.56
zip,41500,24,0.805336,1.241717,1.65
zip,41500,15,0.802297,1.246422,1.65
zip,41500,5,0.805137,1.242024,1.49
zip,41500,25,0.801027,1.248398,1.72
zip,41500,16,0.800942,1.248530,1.61
zip,41500,6,0.803629,1.244356,1.35
zip,41500,26,0.805798,1.241006,1.76
zip,41500,17,0.804248,1.243398,1.63
zip,41500,7,0.804665,1.242754,1.56
zip,41500,27,0.801212,1.248109,1.78
zip,41500,8,0.801363,1.247874,1.60
zip,41500,18,0.805575,1.241349,1.70
zip,41500,28,0.804720,1.242669,1.55
zip,41500,9,0.800853,1.248669,1.88
zip,41500,19,0.801046,1.248368,1.59
zip,41500,29,0.651687,1.534479,1.47
zip,83000,10,0.808427,1.236970,1.71
zip,83000,20,0.808514,1.236838,1.75
zip,83000,0,0.808514,1.236838,1.59
zip,83000,1,0.809385,1.235506,1.81
zip,83000,11,0.809479,1.235362,1.71
zip,83000,21,0.810436,1.233904,1.72
zip,83000,12,0.809152,1.235862,1.88
zip,83000,22,0.809201,1.235787,1.53
zip,83000,2,0.810814,1.233329,1.75
zip,83000,23,0.810220,1.234232,1.68
zip,83000,13,0.721000,1.386962,1.72
zip,83000,3,0.809534,1.235278,1.64
zip,83000,24,0.808325,1.237127,1.78
zip,83000,14,0.808328,1.237121,1.80
zip,83000,4,0.810329,1.234067,1.65
zip,83000,25,0.810333,1.234060,1.53
zip,83000,15,0.809466,1.235383,1.71
zip,83000,5,0.809544,1.235263,1.63
zip,83000,26,0.808781,1.236428,2.19
zip,83000,6,0.809130,1.235895,1.96
zip,83000,16,0.809969,1.234614,1.77
zip,83000,17,0.808535,1.236804,1.74
zip,83000,27,0.810576,1.233690,1.74
zip,83000,7,0.808508,1.236847,1.61
zip,83000,28,0.809718,1.234997,1.50
zip,83000,18,0.807236,1.238795,1.91
zip,83000,8,0.809393,1.235494,1.54
zip,83000,29,0.809756,1.234940,1.49
zip,83000,19,0.722004,1.385034,1.69
zip,83000,9,0.809622,1.235145,1.88
zip,166000,0,0.810031,1.234521,1.76
