benchmark,interval,cluster,index,cpi,ipc,timing
zip,125000,0,0,1.261722,0.792568,1.15
zip,125000,0,1,1.294386,0.772567,1.26
zip,125000,0,2,1.293394,0.773159,1.27
zip,125000,0,3,0.696829,1.435073,1.20
zip,125000,0,4,0.794968,1.257912,1.25
zip,125000,0,5,1.293698,0.772978,1.22
zip,125000,0,6,1.292951,0.773424,1.22
zip,125000,0,7,1.261630,0.792626,1.23
zip,125000,0,8,1.068034,0.936300,1.29
zip,125000,0,9,1.292141,0.773910,1.23
zip,125000,1,0,0.711019,1.406431,1.26
zip,125000,1,1,1.326384,0.753929,1.40
zip,125000,1,2,1.084839,0.921795,1.27
zip,125000,1,3,1.326344,0.753952,1.30
zip,125000,1,4,1.326339,0.753955,1.31
zip,125000,1,5,1.324656,0.754913,1.22
zip,125000,1,6,1.328259,0.752865,1.28
zip,125000,1,7,0.655781,1.524899,1.26
zip,125000,1,8,1.326883,0.753646,1.25
zip,125000,1,9,1.324784,0.754840,1.30
zip,125000,2,0,0.340573,2.936226,1.18
zip,125000,2,1,0.343778,2.908850,1.24
zip,125000,2,2,0.343832,2.908395,1.24
zip,125000,2,3,0.344672,2.901307,1.17
zip,125000,2,4,0.349240,2.863360,1.17
zip,125000,2,5,0.343603,2.910338,1.17
zip,125000,2,6,0.382582,2.613818,1.24
zip,125000,2,7,0.353864,2.825948,1.23
zip,125000,2,8,0.352043,2.840564,1.21
zip,125000,2,9,0.351182,2.847529,1.21
zip,125000,3,0,2.935616,0.340644,0.80
zip,125000,3,1,1.012320,0.987830,1.60
zip,125000,4,0,0.614113,1.628364,1.23
zip,125000,4,1,0.658459,1.518698,1.27
zip,125000,4,2,0.701210,1.426106,1.15
zip,125000,4,3,0.704631,1.419182,1.25
zip,125000,4,4,0.706150,1.416130,1.20
zip,125000,4,5,0.726484,1.376494,1.24
zip,125000,4,6,0.729582,1.370647,1.27
zip,125000,4,7,0.748556,1.335905,1.24
zip,125000,4,8,0.749842,1.333614,1.26
zip,125000,4,9,0.782901,1.277301,1.22
zip,125000,5,0,0.792995,1.261042,1.29
zip,125000,5,1,0.830196,1.204535,1.22
zip,125000,5,2,0.834571,1.198221,1.21
zip,125000,5,3,0.843379,1.185707,1.26
zip,125000,5,4,0.972439,1.028342,1.32
zip,125000,5,5,1.054519,0.948300,1.31
zip,125000,5,6,1.099160,0.909786,1.19
zip,125000,5,7,1.111560,0.899637,1.31
zip,125000,5,8,1.116726,0.895475,1.26
zip,125000,5,9,1.121342,0.891789,1.27
zip,125000,6,0,0.632055,1.582140,1.24
zip,125000,6,1,0.673403,1.484996,1.18
zip,125000,6,2,0.714807,1.398979,1.29
zip,125000,6,3,0.734738,1.361029,1.22
zip,125000,6,4,0.737860,1.355270,1.25
zip,125000,6,5,0.750098,1.333159,1.25
zip,125000,6,6,0.754504,1.325374,1.23
zip,125000,6,7,0.782805,1.277457,1.20
zip,125000,6,8,0.807810,1.237916,1.22
zip,125000,6,9,0.811626,1.232095,1.23
zip,125000,7,0,0.366248,2.730390,1.22
zip,125000,7,1,0.364875,2.740665,1.21
zip,125000,7,2,0.363675,2.749709,1.26
zip,125000,7,3,0.360815,2.771501,1.20
zip,125000,7,4,0.359524,2.781452,1.19
zip,125000,7,5,0.371344,2.692921,1.21
zip,125000,7,6,0.357122,2.800161,1.20
zip,125000,7,7,0.360946,2.770496,1.20
zip,125000,7,8,0.359906,2.778501,1.22
zip,125000,7,9,0.367248,2.722956,1.23
zip,250000,0,0,0.344268,2.904714,1.31
zip,250000,0,1,0.445581,2.244262,1.38
zip,250000,0,2,0.347063,2.881323,1.46
zip,250000,0,3,0.342609,2.918776,1.36
zip,250000,0,4,0.347455,2.878072,1.35
zip,250000,0,5,0.343628,2.910123,1.35
zip,250000,0,6,0.351209,2.847304,1.40
zip,250000,0,7,0.346951,2.882253,1.38
zip,250000,0,8,0.367780,2.719017,1.39
zip,250000,0,9,0.352488,2.836976,1.40
zip,250000,1,0,0.359324,2.783006,1.36
zip,250000,1,1,0.355763,2.810861,1.39
zip,250000,1,2,0.355812,2.810473,1.45
zip,250000,1,3,0.358231,2.791496,1.33
zip,250000,1,4,0.353139,2.831749,1.37
zip,250000,1,5,0.360045,2.777430,1.86
zip,250000,1,6,0.354636,2.819793,1.35
zip,250000,1,7,0.352302,2.838477,1.39
zip,250000,1,8,0.353143,2.831715,1.42
zip,250000,1,9,0.350400,2.853881,1.36
zip,250000,2,0,0.960184,1.041467,1.46
zip,250000,2,1,0.993748,1.006291,1.46
zip,250000,2,2,1.008472,0.991599,1.40
zip,250000,2,3,1.018508,0.981828,1.42
zip,250000,2,4,1.021740,0.978723,1.42
zip,250000,2,5,1.043660,0.958166,1.45
zip,250000,2,6,1.085252,0.921445,1.42
zip,250000,2,7,1.088228,0.918925,1.46
zip,250000,2,8,1.131160,0.884048,1.46
zip,250000,2,9,1.133189,0.882466,1.44
zip,250000,3,0,1.277824,0.782580,1.49
zip,250000,3,1,1.105408,0.904643,1.47
zip,250000,3,2,1.143984,0.874138,1.38
zip,250000,3,3,1.278491,0.782172,1.43
zip,250000,3,4,1.278715,0.782035,1.47
zip,250000,3,5,1.277871,0.782552,1.46
zip,250000,3,6,1.277103,0.783022,1.48
zip,250000,3,7,1.277199,0.782963,1.50
zip,250000,3,8,1.277811,0.782588,1.49
zip,250000,3,9,1.277146,0.782996,1.41
zip,250000,4,0,0.943208,1.060212,1.46
zip,250000,4,1,0.972576,1.028197,1.49
zip,250000,4,2,1.013008,0.987159,1.46
zip,250000,4,3,1.048944,0.953340,1.45
zip,250000,4,4,1.053320,0.949379,1.46
zip,250000,4,5,1.102052,0.907398,1.41
zip,250000,4,6,1.117592,0.894781,1.48
zip,250000,4,7,1.125584,0.888428,1.41
zip,250000,4,8,1.132064,0.883342,1.47
zip,250000,4,9,1.147728,0.871287,1.46
zip,250000,5,0,1.975696,0.506151,1.13
zip,500000,0,0,1.060780,0.942702,1.75
zip,500000,0,1,1.253575,0.797719,1.90
zip,500000,0,2,1.253477,0.797781,1.90
zip,500000,0,3,1.217831,0.821132,1.85
zip,500000,0,4,1.253609,0.797697,1.83
zip,500000,0,5,1.253576,0.797718,1.85
zip,500000,0,6,1.253563,0.797726,1.81
zip,500000,0,7,1.253539,0.797742,1.81
zip,500000,0,8,1.253569,0.797722,1.87
zip,500000,0,9,1.253623,0.797688,1.82
