benchmark,interval,weight,cluster
zip,1000000,0.325375,0
zip,1000000,0.292358,1
zip,1000000,0.0836957,2
zip,1000000,0.004704,3
zip,1000000,8.87548e-05,4
zip,1000000,0.000621283,5
zip,1000000,0.0304429,6
zip,1000000,0.130114,7
zip,1000000,0.0233425,8
zip,1000000,0.0841395,9
zip,1000000,0.0251176,10
zip,125000,0.00197464,0
zip,125000,0.194025,1
zip,125000,0.00515847,2
zip,125000,2.2187e-05,3
zip,125000,0.0885704,4
zip,125000,0.177207,5
zip,125000,0.532676,6
zip,125000,0.000366085,7
zip,16000000,0.399148,0
zip,16000000,0.00994318,1
zip,16000000,0.00142045,2
zip,16000000,0.0426136,3
zip,16000000,0.0866477,4
zip,16000000,0.0198864,5
zip,16000000,0.267045,6
zip,16000000,0.00426136,7
zip,16000000,0.169034,8
zip,2000000,0.113084,0
zip,2000000,0.0903604,1
zip,2000000,0.020948,2
zip,2000000,0.0358601,3
zip,2000000,0.0695899,4
zip,2000000,0.0479318,5
zip,2000000,0.123913,6
zip,2000000,0.0465116,7
zip,2000000,0.129949,8
zip,2000000,0.000887626,9
zip,2000000,0.143618,10
zip,2000000,0.000177525,11
zip,2000000,0.00408308,12
zip,2000000,0.173087,13
zip,250000,0.0216325,0
zip,250000,0.000621242,1
zip,250000,0.344523,2
zip,250000,0.35646,3
zip,250000,0.276741,4
zip,250000,2.21872e-05,5
zip,4000000,0.000355114,0
zip,4000000,0.0078125,1
zip,4000000,0.254972,2
zip,4000000,0.0901989,3
zip,4000000,0.00177557,4
zip,4000000,0.524148,5
zip,4000000,0.0276989,6
zip,4000000,0.0930398,7
zip,500000,0.0705569,0
zip,500000,0.149501,1
zip,500000,0.0663856,2
zip,500000,0.000355003,3
zip,500000,0.0853783,4
zip,500000,0.000887508,5
zip,500000,0.0360328,6
zip,500000,0.0382516,7
zip,500000,0.0254715,8
zip,500000,0.0360328,9
zip,500000,0.0247171,10
zip,500000,0.0909252,11
zip,500000,0.0290659,12
zip,500000,0.110229,13
zip,500000,4.43754e-05,14
zip,500000,0.0599512,15
zip,500000,0.00390504,16
zip,500000,0.0919902,17
zip,500000,0.0803195,18
zip,8000000,0.34375,0
zip,8000000,0.0731534,1
zip,8000000,0.0241477,2
zip,8000000,0.000710227,3
zip,8000000,0.184659,4
zip,8000000,0.362216,5
zip,8000000,0.00852273,6
zip,8000000,0.00284091,7
