benchmark,interval,cluster,cpi,ipc,cputime
spec.x264,125000,1,0.484276,2.064939,1.41
spec.x264,125000,2,0.426117,2.346775,1.52
spec.x264,125000,3,0.457662,2.185019,1.46
spec.x264,125000,4,0.457198,2.187238,1.45
spec.x264,125000,5,0.359288,2.783283,1.42
spec.x264,125000,6,0.312110,3.204000,1.45
spec.x264,125000,7,0.577840,1.730582,1.53
spec.x264,125000,8,0.349187,2.863794,1.45
spec.x264,125000,9,0.511358,1.955576,1.52
spec.x264,125000,10,0.591389,1.690934,1.45
spec.x264,125000,11,0.359623,2.780692,1.19
spec.x264,125000,12,0.487576,2.050961,1.50
spec.x264,125000,13,0.621426,1.609202,1.45
spec.x264,125000,14,0.981899,1.018435,1.60
spec.x264,125000,15,0.538037,1.858608,1.51
spec.x264,125000,16,0.365909,2.732921,1.45
spec.x264,125000,17,0.685840,1.458066,1.42
spec.x264,125000,18,0.366630,2.727548,1.46
spec.x264,125000,19,0.982642,1.017665,1.48
spec.x264,125000,20,0.632730,1.580452,1.54
spec.x264,125000,21,1.106456,0.903786,1.50
spec.x264,125000,22,0.258497,3.868514,1.39
spec.x264,125000,23,0.264629,3.778881,1.45
spec.x264,250000,1,0.684548,1.460819,1.61
spec.x264,250000,2,0.445678,2.243771,1.63
spec.x264,250000,3,0.437152,2.287533,1.63
spec.x264,250000,4,0.552805,1.808956,1.66
spec.x264,250000,5,0.365241,2.737921,1.55
spec.x264,250000,6,0.310361,3.222055,1.54
spec.x264,250000,7,0.535451,1.867585,1.74
spec.x264,250000,8,0.342910,2.916219,1.60
spec.x264,250000,9,0.478402,2.090291,1.66
spec.x264,250000,10,0.701610,1.425293,1.67
spec.x264,250000,11,0.359011,2.785429,1.28
spec.x264,250000,12,0.527564,1.895504,1.62
spec.x264,250000,13,0.615918,1.623594,1.62
spec.x264,250000,14,0.751740,1.330247,1.70
spec.x264,250000,15,0.456218,2.191937,1.68
spec.x264,250000,16,0.347604,2.876838,1.59
spec.x264,250000,17,0.682036,1.466199,1.59
spec.x264,250000,18,0.381329,2.622410,1.65
spec.x264,250000,19,0.668157,1.496654,1.55
spec.x264,250000,20,0.597893,1.672539,1.74
spec.x264,250000,21,0.812582,1.230645,1.66
spec.x264,250000,22,0.259540,3.852968,1.52
spec.x264,250000,23,0.258711,3.865323,1.53
spec.x264,500000,1,0.589906,1.695185,1.92
spec.x264,500000,2,0.447598,2.234149,1.91
spec.x264,500000,3,0.661070,1.512699,1.96
spec.x264,500000,4,0.538166,1.858163,1.99
spec.x264,500000,5,0.379133,2.637596,1.87
spec.x264,500000,6,0.327993,3.048850,1.89
spec.x264,500000,7,0.551312,1.813855,2.00
spec.x264,500000,8,0.388653,2.572992,1.87
spec.x264,500000,9,0.460468,2.171704,1.94
spec.x264,500000,10,0.678257,1.474367,1.98
spec.x264,500000,11,0.357572,2.796639,1.56
spec.x264,500000,12,0.491393,2.035030,1.88
spec.x264,500000,13,0.613834,1.629104,1.88
spec.x264,500000,14,0.645531,1.549113,2.01
spec.x264,500000,15,0.483754,2.067167,2.01
spec.x264,500000,16,0.358896,2.786321,1.91
