benchmark,interval,cluster,cpi,ipc,cputime
zip,125000,1,2.935616,0.340644,0.71
zip,125000,2,0.343203,2.913730,1.15
zip,125000,3,1.229238,0.813512,1.20
zip,125000,4,1.229462,0.813364,1.19
zip,125000,5,0.343227,2.913526,1.14
zip,125000,6,1.247576,0.801554,1.18
zip,125000,7,0.961768,1.039752,1.19
zip,125000,8,1.229170,0.813557,1.17
zip,250000,1,1.975696,0.506151,0.98
zip,250000,2,0.345139,2.897384,1.27
zip,250000,3,1.229372,0.813424,1.39
zip,250000,4,1.208866,0.827222,1.39
zip,250000,5,0.344432,2.903331,1.30
zip,250000,6,1.238404,0.807491,1.36
zip,250000,7,0.654631,1.527579,1.37
zip,250000,8,1.229324,0.813455,1.34
zip,500000,1,1.190566,0.839937,1.36
zip,500000,2,0.344586,2.902033,1.61
zip,500000,3,1.229117,0.813592,1.75
zip,500000,4,0.775651,1.289240,1.69
zip,500000,5,0.344673,2.901297,1.67
zip,500000,6,1.233864,0.810462,1.78
zip,500000,7,0.500619,1.997527,1.68
zip,500000,8,1.229584,0.813283,1.73
zip,1000000,1,0.783437,1.276427,2.07
zip,1000000,2,0.344146,2.905746,2.23
zip,1000000,3,0.786852,1.270888,2.37
zip,1000000,4,0.560218,1.785019,2.29
zip,1000000,5,0.343755,2.909051,2.29
zip,1000000,6,1.060413,0.943029,2.43
zip,1000000,7,0.422623,2.366177,2.27
zip,1000000,8,1.240973,0.805819,2.55
zip,2000000,1,0.573183,1.744643,3.35
zip,2000000,2,0.344108,2.906061,3.41
zip,2000000,3,0.564514,1.771434,3.52
zip,2000000,4,0.452174,2.211539,3.40
zip,2000000,5,0.344117,2.905991,3.37
zip,2000000,6,0.700889,1.426759,3.61
zip,2000000,7,0.384312,2.602055,3.42
zip,2000000,8,0.820424,1.218881,3.65
zip,4000000,1,0.463258,2.158624,5.82
zip,4000000,2,0.343837,2.908358,6.08
zip,4000000,3,0.454101,2.202155,5.89
zip,4000000,4,0.397859,2.513456,6.04
zip,4000000,5,0.343409,2.911983,5.72
zip,4000000,6,0.521993,1.915735,5.98
zip,4000000,7,0.364852,2.740839,5.80
zip,4000000,8,0.581200,1.720578,5.90
zip,8000000,1,0.405207,2.467875,10.73
zip,8000000,2,0.343974,2.907195,10.62
zip,8000000,3,0.398908,2.506843,10.73
zip,8000000,4,0.370681,2.697738,10.66
zip,8000000,5,0.342769,2.917419,10.72
zip,8000000,6,0.432566,2.311785,10.48
zip,8000000,7,0.354882,2.817839,10.33
zip,8000000,8,0.461605,2.166352,10.60
zip,16000000,1,0.374402,2.670925,20.33
zip,16000000,2,0.344154,2.905676,20.25
zip,16000000,3,0.370415,2.699674,20.09
zip,16000000,4,0.357133,2.800074,20.40
zip,16000000,5,0.342682,2.918156,19.31
zip,16000000,6,0.387905,2.577954,19.49
zip,16000000,7,0.350102,2.856307,19.54
zip,16000000,8,0.402009,2.487504,19.76
