rob_size,lq_size,sq_size,p_width,interval,performance,energy,Timestamp
128,16,16,6,16000000,0.4440301428684,5.1940008946638905,554469
512,64,64,7,16000000,0.3717589915767,4.715137523045043,554469
32,64,256,5,16000000,0.8971052321529599,9.633890815348737,554469
512,256,4,8,16000000,0.38053019503636,4.952969055422352,554469
16,256,64,8,16000000,1.19267672149618,13.382317119299362,554469
256,16,64,5,16000000,0.45187186761636,5.203954333252408,554469
256,256,64,7,16000000,0.3717664432814,4.670289556337737,554469
128,16,256,4,16000000,0.56113547200964,6.155474600398254,554469
256,128,128,12,16000000,0.38881977828695996,5.489312902728337,554469
128,64,128,6,16000000,0.4437446969322,5.210807850406192,554469
256,256,4,7,16000000,0.37264493449302,4.672873265503648,1123926
128,256,4,7,16000000,0.41189573506468,5.012687746867545,1123926
128,256,4,8,16000000,0.40000822752844,5.027656003368664,1123926
64,256,4,7,16000000,0.6988800721616799,7.976430627657738,1123926
32,256,4,6,16000000,0.87960992650758,9.63295731791898,1123926
16,256,4,7,16000000,1.1760290669507398,12.933528582735429,1123926
16,256,4,6,16000000,1.2099246942716797,13.034027843400873,1123926
128,256,4,10,16000000,0.40473689696868,5.307769895357629,1123926
16,256,4,10,16000000,1.18598447646014,13.825739824457234,1123926
32,16,4,7,16000000,0.8843393449907,9.843017638647755,1123926
256,256,64,8,16000000,0.37967718536788,4.881569702171642,1677800
256,256,64,10,16000000,0.38713537495322004,5.197024106772913,1677800
256,256,128,8,16000000,0.37965020953497997,4.888550016801064,1677800
256,256,4,9,16000000,0.37334192563158003,4.931162033378283,1677800
256,256,64,9,16000000,0.38763982563756,5.070334570885583,1677800
128,256,128,8,16000000,0.39918130592858,5.034420099228527,1677800
256,256,256,11,16000000,0.38208852674908,5.309409585486205,1677800
512,256,64,8,16000000,0.37966902201629993,4.950704741756443,1677800
128,256,128,11,16000000,0.40233856199018,5.427147466500522,1677800
512,256,256,10,16000000,0.38896815321873995,5.323330291104852,1677800
512,256,4,10,16000000,0.37894437592674,5.198805741289606,2233798
512,256,16,5,16000000,0.45216223400404,5.269612139692681,2233798
512,128,4,10,16000000,0.37894437592674,5.188439576215045,2233798
64,64,16,8,16000000,0.6839854345629999,7.968581589980838,2233798
512,256,4,12,16000000,0.39188760102886,5.6224065119170294,2233798
512,64,4,10,16000000,0.37894437592674,5.183000569860091,2233798
64,256,4,12,16000000,0.6713167992937,8.56863826088681,2233798
512,4,4,12,16000000,0.6990557454099401,9.08951751243751,2233798
64,128,4,12,16000000,0.6713167992937,8.552949555513012,2233798
512,4,4,11,16000000,0.68476846839124,8.718412716841367,2233798
512,64,64,8,16000000,0.37966902201629993,4.9348968813440965,2816034
256,64,4,6,16000000,0.42587588132222,5.062299526673726,2816034
512,64,4,7,16000000,0.37264493449302,4.717724215393941,2816034
512,64,4,6,16000000,0.42587588132222,5.1161539725403955,2816034
256,64,4,5,16000000,0.45268749093174004,5.209520932150324,2816034
256,64,4,4,16000000,0.5599602106507,6.1485796183955985,2816034
512,64,4,4,16000000,0.5599602106507,6.188381838160638,2816034
512,256,4,4,16000000,0.5599602106507,6.209181902785942,2816034
32,16,256,9,16000000,0.8684132692584999,10.129067056237716,2816034
16,128,4,4,16000000,1.22560193163228,12.666882452402376,2816034
256,128,4,7,16000000,0.37264493449302,4.6626213627125,3369124
128,128,4,7,16000000,0.41189573506468,5.001721252733998,3369124
256,128,4,6,16000000,0.42587588132222,5.068185526161578,3369124
128,128,4,6,16000000,0.44457664979927997,5.210060094137219,3369124
128,128,4,8,16000000,0.40000822752844,5.016907657187699,3369124
128,128,4,12,16000000,0.40457968875806,5.557683415246761,3369124
128,128,4,4,16000000,0.5620033723107399,6.142403368777791,3369124
256,128,4,8,16000000,0.38053019503636,4.873273865253308,3369124
512,256,4,5,16000000,0.45268749093174004,5.27327238135653,3369124
128,128,64,8,16000000,0.39918132581497995,5.016253526389037,3369124
256,256,256,7,16000000,0.37174963789326,4.691181915930258,3924699
256,128,256,7,16000000,0.37174963789326,4.680944532394019,3924699
256,64,256,7,16000000,0.37174963789326,4.675592369941701,3924699
256,256,256,6,16000000,0.42499859465586,5.099744553419022,3924699
64,64,4,11,16000000,0.6701815360875799,8.348948202951474,3924699
256,64,256,6,16000000,0.42499859465586,5.082680359474655,3924699
64,64,256,6,16000000,0.7113571222452999,7.9517661369110755,3924699
512,64,256,5,16000000,0.45182109491208,5.277970169637752,3924699
128,64,256,5,16000000,0.45632076206253996,5.237739309688853,3924699
64,128,256,6,16000000,0.7113571222452999,7.960381222875963,3924699
256,256,4,10,16000000,0.37894437592674,5.112435753457434,4476811
512,256,4,7,16000000,0.37264493449302,4.733336170783442,4476811
128,256,64,8,16000000,0.39918132581497995,5.026989294284749,4476811
512,128,4,12,16000000,0.39188760102886,5.611804532838656,4476811
512,16,4,7,16000000,0.37264497142492004,4.713138031098175,4476811
512,16,4,12,16000000,0.3916152700951,5.598825895085289,4476811
512,16,16,12,16000000,0.37377015917213996,5.4207361158754095,4476811
128,16,256,7,16000000,0.42406659386615997,5.143063326157285,4476811
512,16,64,12,16000000,0.37346900158862,5.423928942603121,4476811
512,16,128,12,16000000,0.37345722176314,5.430825473900179,4476811
16,16,128,12,16000000,1.18712143958516,14.368681757599555,5047013
512,16,4,9,16000000,0.37334206483626003,4.988476309998648,5047013
512,16,16,9,16000000,0.37279170704973996,4.9836611327081535,5047013
16,16,128,11,16000000,1.1850744630801997,14.067946560820124,5047013
32,16,128,11,16000000,0.8640217848226799,10.482250881013215,5047013
256,4,16,9,16000000,0.7117233252755599,8.520459195923255,5047013
256,4,256,11,16000000,0.68409169163048,8.636286882253176,5047013
32,16,256,11,16000000,0.8640217848226799,10.504912249926745,5047013
64,16,256,11,16000000,0.6700308653940399,8.37915703687916,5047013
256,16,4,9,16000000,0.37334206483626003,4.9110316351629635,5047013
64,4,256,6,16000000,0.72605316048868,8.077430197514921,5615155
64,4,256,5,16000000,0.73930083676804,8.043705733258832,5615155
16,4,4,12,16000000,1.18660461504022,14.332482187700244,5615155
16,4,16,12,16000000,1.1872536836535,14.341691289574655,5615155
256,16,128,12,16000000,0.37346028284413996,5.327100881660625,5615155
128,16,128,12,16000000,0.40371290493535994,5.552505945492124,5615155
256,16,256,12,16000000,0.37346028284413996,5.340817357268456,5615155
512,16,128,9,16000000,0.37248576538128003,4.993753455983308,5615155
512,16,128,11,16000000,0.37890028745911997,5.339049213151206,5615155
16,4,256,12,16000000,1.18717966520474,14.3962991416167,5615155
512,64,128,11,16000000,0.39242389606343997,5.474965161549168,6167257
512,16,64,7,16000000,0.37180714354474,4.711292976618451,6167257
128,4,128,8,16000000,0.6984958407425199,8.148998242158143,6167257
256,256,16,10,16000000,0.3794532460832,5.117156903243472,6167257
128,4,64,7,16000000,0.72602632384508,8.247734442368737,6167257
256,4,64,7,16000000,0.72602632384508,8.301513768293296,6167257
128,4,128,7,16000000,0.72602634373148,8.258306300740808,6167257
512,16,64,11,16000000,0.37864646224624,5.329209865951752,6167257
256,4,128,7,16000000,0.72602634373148,8.312047473564897,6167257
128,256,256,7,16000000,0.42403860523906,5.165111566638373,6167257
256,256,4,6,16000000,0.42587588132222,5.079407552241558,6728439
512,16,256,12,16000000,0.37345722176314,5.4445594119900065,6728439
128,256,4,6,16000000,0.44457664979927997,5.221620734760117,6728439
256,256,4,5,16000000,0.45268749093174004,5.2273698263298,6728439
128,256,4,5,16000000,0.45600443376724,5.222215984948738,6728439
64,256,4,6,16000000,0.7121439955728799,7.944364486365041,6728439
256,256,256,12,16000000,0.38881977828695996,5.513856840977423,6728439
128,256,64,5,16000000,0.45632076206253996,5.232458183541683,6728439
256,16,128,11,16000000,0.37904845073511995,5.24533038148865,6728439
64,256,4,5,16000000,0.7195158584773,7.852888701948728,6728439
256,128,256,4,16000000,0.55905346378806,6.181688076262392,7286050
256,16,4,7,16000000,0.37264497142492004,4.652656418465437,7286050
512,4,16,7,16000000,0.7261118593307,8.36759555348425,7286050
512,4,16,6,16000000,0.7261576277853601,8.175280050769452,7286050
512,4,16,5,16000000,0.73939488927968,8.121330899209902,7286050
512,4,16,4,16000000,0.77113264525362,8.251845949759304,7286050
512,4,16,8,16000000,0.6985918321957599,8.27362052369849,7286050
512,4,128,4,16000000,0.7710263995486399,8.271581689187476,7286050
128,16,128,11,16000000,0.40236821113143995,5.40583935275948,7286050
256,128,64,4,16000000,0.55905346378806,6.155600151896664,7286050
512,16,16,7,16000000,0.37212668323584003,4.708215522973628,7838531
512,16,16,11,16000000,0.37874310286102003,5.32462778741085,7838531
512,16,16,8,16000000,0.37999492958104,4.927670266037628,7838531
512,16,64,8,16000000,0.37968811292348004,4.930410478939859,7838531
256,16,16,8,16000000,0.37999453043303993,4.8584051254643805,7838531
64,64,128,4,16000000,0.7425468651541199,7.915028607942039,7838531
64,128,128,4,16000000,0.7425468651541199,7.923901756809529,7838531
64,64,64,4,16000000,0.7425468651541199,7.9042998859744,7838531
64,256,128,4,16000000,0.7425468651541199,7.940888667060021,7838531
64,256,64,4,16000000,0.7425468651541199,7.930159844069537,7838531
256,64,128,7,16000000,0.37174963789326,4.661889484151164,8430673
512,16,256,9,16000000,0.37248576538128003,5.0074709693526485,8430673
256,64,128,5,16000000,0.45183195427956,5.216947883277048,8430673
512,16,128,10,16000000,0.3780792242094,5.183212147287044,8430673
256,64,256,9,16000000,0.38026278956793996,5.007211701513673,8430673
512,128,4,6,16000000,0.42587588132222,5.1220412749804645,8430673
512,64,256,9,16000000,0.38870641044908,5.163747000389304,8430673
256,16,128,7,16000000,0.37180968615958,4.658024611464386,8430673
256,64,128,9,16000000,0.38026278956793996,4.993352204191201,8430673
16,128,64,5,16000000,1.22404155634666,12.915291492172999,8430673
256,64,256,11,16000000,0.38208852674908,5.293532363746663,8975699
256,64,256,12,16000000,0.38881977828695996,5.497794151370894,8975699
512,128,64,6,16000000,0.42499582050336,5.120138776036789,8975699
256,64,4,12,16000000,0.39188760102886,5.5011945999335445,8975699
256,64,16,12,16000000,0.38862223435482,5.4686591700980065,8975699
256,128,64,5,16000000,0.45183195427956,5.2151307526977915,8975699
128,64,4,12,16000000,0.40457968875806,5.5520007331135055,8975699
128,64,16,12,16000000,0.40400328978208,5.546583209184439,8975699
256,256,128,5,16000000,0.45183195427956,5.234755616460129,8975699
256,256,64,5,16000000,0.45183195427956,5.226824798711568,8975699
256,128,256,5,16000000,0.45183195427956,5.238220190667967,9530155
512,64,16,7,16000000,0.3721006122224,4.712781059444207,9530155
512,128,16,7,16000000,0.3721006122224,4.718136843708775,9530155
512,128,256,5,16000000,0.45182109491208,5.284083108437279,9530155
512,128,16,5,16000000,0.45216223400404,5.25791262476097,9530155
512,128,16,6,16000000,0.42534018405123997,5.1171324821167445,9530155
512,128,64,5,16000000,0.45182298127473997,5.260991023364278,9530155
512,128,128,5,16000000,0.45182109491208,5.268923660041697,9530155
512,128,128,6,16000000,0.42498986596186,5.127699200571622,9530155
512,128,256,6,16000000,0.42498986596186,5.14237075062824,9530155
256,16,256,9,16000000,0.37248575543806006,4.930055193255207,10084178
256,16,256,11,16000000,0.37904845073511995,5.259166007969259,10084178
256,16,256,10,16000000,0.37808242023239996,5.110691688048392,10084178
512,16,4,4,16000000,0.5599642688858799,6.182321878383165,10084178
128,16,256,10,16000000,0.4039767864010799,5.307457924087403,10084178
128,16,4,10,16000000,0.40393743706237994,5.275275256509226,10084178
128,16,256,11,16000000,0.40236821113143995,5.420098605353272,10084178
128,16,256,9,16000000,0.40802435794282,5.2167556913829465,10084178
