rob_size,lq_size,sq_size,p_width,interval,int_regs,float_regs,vec_regs,performance,energy,area,Timestamp
32,128,16,5,16000000,60,163,141,0.9910210431418,10.452910836152945,12.242439465712,525501
32,256,4,9,16000000,242,151,114,0.8689792435044801,10.102914863662027,13.755890710860001,525501
512,128,128,4,16000000,116,189,219,0.6838902470938,7.428595281060816,12.167070170407998,525501
128,16,16,4,16000000,234,235,84,0.56141149748876,6.119410088488367,12.100948031387999,525501
128,16,128,7,16000000,233,99,85,0.42406659386615997,5.111279650579605,12.968788677052,525501
128,16,4,6,16000000,184,199,85,0.4445767293448,5.1781146968918055,12.661842747496,525501
512,256,64,8,16000000,134,218,125,0.5322623698793799,6.550405428828974,13.698518569184,525501
64,4,128,4,16000000,171,245,216,0.7650116091764,8.094444484615435,12.090308830072,525501
16,4,256,12,16000000,165,85,163,1.18717966520474,14.278098365383016,14.619853516792,525501
64,128,4,12,16000000,183,156,227,0.6713167992937,8.498734014336653,14.94310625958,525501
512,4,16,5,16000000,184,233,225,0.73939488927968,8.101326938140096,12.497780297296,1079261
128,4,256,9,16000000,205,238,256,0.7116177926381,8.470017174084031,13.914086685568,1079261
256,4,256,5,16000000,214,49,244,0.74078730505688,8.087601703544404,12.36981158614,1079261
128,4,256,11,16000000,187,53,232,0.6844299827120801,8.492612485245601,14.329015536891998,1079261
128,4,64,6,16000000,81,238,227,0.74414107541316,8.199084685378056,12.607055832308,1079261
128,4,64,12,16000000,97,97,235,0.6983977427679601,8.754434699911824,14.543291040031999,1079261
16,4,256,12,16000000,137,52,232,1.18735848191422,14.246977919312625,14.426259825555999,1079261
64,16,256,11,16000000,85,49,232,0.7068200257918001,8.63973442745099,13.953660537191999,1079261
128,4,256,10,16000000,49,84,244,1.4494135610489,16.579005823465636,13.681018574496001,1079261
32,4,256,11,16000000,187,91,232,0.86420100778094,10.433073792356033,14.307438838895997,1079261
64,16,16,4,16000000,111,94,73,0.7427659659475799,7.838943562227142,11.973874206323998,1632226
64,16,4,12,16000000,108,93,59,0.67131629077152,8.418708085207829,14.449129136796,1632226
16,64,16,4,16000000,134,93,50,1.2280259478524598,12.618155367838783,11.993362836771997,1632226
32,64,16,9,16000000,53,89,52,1.1922374224837597,13.419583254973034,13.241430639748,1632226
16,16,16,10,16000000,75,75,76,1.1846948369749999,13.591895143995261,13.56349020108,1632226
16,4,64,10,16000000,54,55,50,1.19464196192544,13.677502828683297,13.448845349516,1632226
256,16,4,5,16000000,160,238,243,0.45485609435489993,5.204618265777701,12.400436576844001,1632226
16,64,256,10,16000000,54,55,50,1.19459870198598,13.733467950991864,13.5028368104,1632226
16,64,64,12,16000000,49,70,76,1.43980919351362,16.962755649928965,14.15212638604,1632226
16,4,16,11,16000000,49,141,58,1.4456363626100799,16.72298904312019,13.98806393584,1632226
64,16,4,4,16000000,80,108,207,0.8058123966593399,8.439833602017758,11.964825913616,2163070
64,16,4,4,16000000,78,103,188,0.80084994765094,8.390033508885137,11.962737846067999,2163070
128,16,4,4,16000000,77,110,216,0.8008772374389399,8.409184167948862,11.97805034142,2163070
64,16,4,8,16000000,76,105,76,0.7710733085700601,8.767039860266044,13.022382410784,2163070
64,16,4,4,16000000,75,100,216,0.82023848187504,8.563226468019423,11.960550346732001,2163070
64,128,4,6,16000000,80,115,74,0.74450191762104,8.168163395350904,12.488533141012,2163070
128,128,4,6,16000000,73,130,68,0.82293978307366,8.983901323279044,12.535166649584,2163070
128,64,4,5,16000000,59,125,69,1.0025946646074,10.58524628101729,12.225734925328,2163070
128,128,4,10,16000000,71,114,57,0.81599787818562,9.660325424741334,13.769711729391998,2163070
32,4,128,5,16000000,91,174,185,0.89728346789132,9.539956690155716,12.269286048471999,2163070
256,16,4,5,16000000,186,210,52,0.45268751081810005,5.187478398848921,12.40063544042,2683178
512,256,4,5,16000000,253,188,53,0.45268749093174004,5.269488290763702,12.568277434988,2683178
256,256,4,11,16000000,60,189,53,0.95617803382944,11.510962691632868,14.499242757948,2683178
512,16,4,11,16000000,58,190,51,0.9936134528379601,12.021709640930935,14.812751185511999,2683178
32,4,128,4,16000000,137,154,182,0.91001699915504,9.49648080753259,12.038803163888,2683178
512,16,16,10,16000000,144,157,238,0.41050296479914,5.451482656683225,14.502623438739999,2683178
512,256,4,10,16000000,157,156,98,0.40610241988958007,5.433330928536845,14.579484210864,2683178
16,256,16,10,16000000,111,90,77,1.1846947588504,13.666379168422164,13.709555497652,2683178
16,256,16,10,16000000,112,90,77,1.1846947588504,13.666379168422164,13.709555497652,2683178
128,256,128,4,16000000,118,90,51,0.6707015594181,7.227123728603624,12.064953724132,2683178
128,64,256,8,16000000,122,243,202,0.61516597541834,7.282938066504819,13.3835186648,3235158
32,128,256,7,16000000,214,243,62,0.87739485059554,9.81857032550103,13.101032955092,3235158
32,64,256,5,16000000,63,243,62,0.93277468435944,9.91095438343806,12.331430915971998,3235158
32,64,256,5,16000000,62,248,133,0.9605211958470199,10.193060581950213,12.326658190147999,3235158
32,128,256,5,16000000,63,242,137,0.93277468435944,9.921404730293261,12.343661025896001,3235158
128,4,128,10,16000000,106,246,147,0.69845662483566,8.43414256913941,14.110762762231998,3235158
256,4,256,10,16000000,61,249,123,0.9567623559346801,11.309205959466025,14.193987168788,3235158
32,4,128,10,16000000,69,249,123,0.87540111951836,10.286694903216109,13.943120767663999,3235158
16,4,128,12,16000000,68,249,123,1.1871807646364798,14.218869616028439,14.73678529948,3235158
16,128,128,10,16000000,136,256,75,1.1846335955087,13.745582959699174,14.221132046912,3235158
