order,rob_size,lq_size,sq_size,p_width,energy,performance,time,energy_baseline,performance_baseline,area,area_baseline,int_regs,float_regs,vec_regs
924430194960979,128,64,64,8,4.98881564331036,0.39959407994518004,628.3100000000001,4.98881564331036,0.39959407994518004,13.233575528495999,13.233575528495999,222,53,130
924430194960979,256,4,128,12,8.917263807975447,0.69838696436296,641.4399999999999,8.917263807975447,0.69838696436296,15.080421558808,15.080421558808,211,70,144
924430194960979,256,64,256,11,5.3739494619330825,0.39450231678256,636.05,5.3739494619330825,0.39450231678256,14.932168762900002,14.932168762900002,164,236,60
924430194960979,128,4,16,8,8.17931714582827,0.71181491047158,645.1800000000001,8.17931714582827,0.71181491047158,13.142297147111998,13.142297147111998,83,140,99
924430194960979,64,16,128,6,8.60445219847608,0.7852755870747399,653.1600000000001,8.60445219847608,0.7852755870747399,12.569570048232002,12.569570048232002,77,208,107
924430194960979,512,128,64,4,6.190221171257764,0.5590500930531799,649.6300000000001,6.190221171257764,0.5590500930531799,12.226530379631999,12.226530379631999,228,248,154
924430194960979,32,128,4,6,9.59327875599581,0.87960992650758,657.93,9.59327875599581,0.87960992650758,12.665521723651999,12.665521723651999,221,184,158
924430194960979,64,64,256,9,8.143608807374408,0.683726126396,661.4,8.143608807374408,0.683726126396,13.805010014132,13.805010014132,173,230,165
924430194960979,64,64,16,11,11.595626739057238,0.9798777412043199,682.79,11.595626739057238,0.9798777412043199,13.967382123936,13.967382123936,59,106,183
924430194960979,256,4,16,8,8.15965152769346,0.6985918321957599,646.08,8.15965152769346,0.6985918321957599,13.391075480687999,13.391075480687999,233,93,207
924956548266612,64,64,256,5,14.673118338742219,1.4024961540893799,696.83,14.673118338742219,1.4024961540893799,12.328447962332,12.328447962332,51,243,121
924956548266612,256,256,4,4,6.155485475738484,0.5599642589427001,662.84,6.155485475738484,0.5599642589427001,12.144896881684,12.144896881684,213,158,64
924956548266612,128,256,128,11,16.74283558288756,1.4300101870576,700.23,16.74283558288756,1.4300101870576,14.350393371311998,14.350393371311998,50,204,243
924956548266612,32,128,128,6,9.563634232979854,0.87899251909786,682.7099999999999,9.563634232979854,0.87899251909786,12.61143083098,12.61143083098,71,251,185
924956548266612,32,4,256,12,10.532608031702512,0.8544304406765401,663.0299999999999,10.532608031702512,0.8544304406765401,14.876884688772002,14.876884688772002,145,182,88
924956548266612,16,16,4,10,13.653219125217953,1.18598447646014,694.6299999999999,13.653219125217953,1.18598447646014,13.816842396903999,13.816842396903999,117,154,226
924956548266612,256,256,16,12,8.153190832033411,0.62861545845932,647.9300000000001,8.153190832033411,0.62861545845932,15.149725515044,15.149725515044,112,199,247
924956548266612,32,64,4,8,9.85496288844178,0.86776618028744,669.85,9.85496288844178,0.86776618028744,13.300890848971997,13.300890848971997,253,126,197
924956548266612,64,64,64,12,8.485993729514764,0.67054471432536,650.0899999999999,8.485993729514764,0.67054471432536,14.737680185572,14.737680185572,206,67,153
924956548266612,32,256,64,8,9.865631466798321,0.8694649765731199,672.3399999999999,9.865631466798321,0.8694649765731199,13.225819849031998,13.225819849031998,130,139,125
925489214269196,128,16,256,12,12.113417380535122,0.99773168432802,684.6500000000001,12.113417380535122,0.99773168432802,14.49168594206,14.49168594206,58,118,107
925489214269196,512,4,256,9,8.627871636811912,0.7116177926381,678.8100000000001,8.627871636811912,0.7116177926381,14.152225817827999,14.152225817827999,248,115,228
925489214269196,256,64,128,11,10.652934252792406,0.8770279540656599,689.11,10.652934252792406,0.8770279540656599,14.546771152611997,14.546771152611997,66,198,134
925489214269196,32,256,16,6,9.59517951584073,0.8790700758886,677.6099999999999,9.59517951584073,0.8790700758886,12.682623991188,12.682623991188,160,233,147
925489214269196,256,256,16,10,5.103768709592726,0.3794532460832,646.8199999999999,5.103768709592726,0.3794532460832,14.434313800383999,14.434313800383999,238,157,95
925489214269196,64,64,128,9,8.065963176662995,0.683726126396,660.5,8.065963176662995,0.683726126396,13.393859570752,13.393859570752,109,81,168
925489214269196,16,128,4,10,13.701298373973533,1.186069419603,697.9,13.701298373973533,1.186069419603,13.782936157196001,13.782936157196001,187,54,230
925489214269196,256,256,256,5,8.389697747374885,0.76919313024216,681.77,8.389697747374885,0.76919313024216,12.429768954304,12.429768954304,80,200,182
925489214269196,128,4,128,7,8.213179087734222,0.72603926986608,673.82,8.213179087734222,0.72603926986608,12.885067111556,12.885067111556,202,62,201
925489214269196,16,256,16,6,12.943177853042137,1.2094700282399198,697.7299999999999,12.943177853042137,1.2094700282399198,12.545905282688,12.545905282688,127,107,154
926009409288399,128,64,256,5,5.233617581771856,0.45632076206253996,657.17,5.233617581771856,0.45632076206253996,12.469342805928,12.469342805928,233,245,232
926009409288399,128,4,256,10,8.473767579513076,0.6984562853483399,665.55,8.473767579513076,0.6984562853483399,14.118120714543998,14.118120714543998,159,155,127
926009409288399,32,256,16,8,9.89810474924936,0.86955242683074,676.01,9.89810474924936,0.86955242683074,13.359953331044,13.359953331044,214,171,52
926009409288399,64,16,4,4,7.854921246756973,0.74379411193468,662.1199999999999,7.854921246756973,0.74379411193468,11.979243522876,11.979243522876,152,51,233
926009409288399,16,16,16,8,13.198574880097414,1.1927534331115999,686.01,13.198574880097414,1.1927534331115999,13.022879569724001,13.022879569724001,108,100,82
926009409288399,512,16,128,7,6.940923072742082,0.58708888155898,666.4300000000001,6.940923072742082,0.58708888155898,13.182865316616002,13.182865316616002,125,190,221
926009409288399,128,4,128,5,8.028080716771672,0.73927584528574,677.0000000000001,8.028080716771672,0.73927584528574,12.382638286792,12.382638286792,221,174,100
926009409288399,32,256,128,12,10.488006331973546,0.8501643508078599,686.9100000000001,10.488006331973546,0.8501643508078599,14.615677381695997,14.615677381695997,179,61,130
926009409288399,512,16,128,12,11.657257821375397,0.9377861362211799,686.99,11.657257821375397,0.9377861362211799,15.278887407655997,15.278887407655997,62,157,252
926009409288399,32,128,128,4,9.336401878325816,0.8941579592800599,675.2399999999999,9.336401878325816,0.8941579592800599,12.010465104307999,12.010465104307999,100,85,157
926524786865859,128,16,4,4,7.437304129438036,0.6993164399219,665.1700000000001,7.437304129438036,0.6993164399219,11.96860432156,11.96860432156,109,55,50
926524786865859,256,4,16,7,12.197590492999998,1.11316202795534,693.09,12.197590492999998,1.11316202795534,12.790706344743999,12.790706344743999,55,82,141
926524786865859,32,256,4,7,9.824093049882713,0.8843393449907,689.3299999999999,9.824093049882713,0.8843393449907,12.866572798987999,12.866572798987999,173,88,177
926524786865859,512,64,128,5,5.247879716180593,0.45183243581394006,661.9300000000001,5.247879716180593,0.45183243581394006,12.532979150248,12.532979150248,192,220,206
926524786865859,128,128,64,10,5.363855253427341,0.4153354257663999,649.56,5.363855253427341,0.4153354257663999,14.132936050956,14.132936050956,141,192,218
926524786865859,32,128,256,4,9.35400390154986,0.8941716510373201,670.3,9.35400390154986,0.8941716510373201,12.024385554628,12.024385554628,94,62,66
926524786865859,128,256,4,7,4.979393715971252,0.41189573506468,652.11,4.979393715971252,0.41189573506468,12.990663670412,12.990663670412,154,166,217
926524786865859,128,64,4,12,8.567314513085691,0.67785407282522,658.01,8.567314513085691,0.67785407282522,14.941018192032,14.941018192032,96,238,78
926524786865859,16,16,64,10,13.691746945276119,1.1846335955087,710.23,13.691746945276119,1.1846335955087,13.960322466988,13.960322466988,153,166,197
926524786865859,32,16,128,6,9.57045056893775,0.8789857534696199,673.1800000000001,9.57045056893775,0.8789857534696199,12.632212074671997,12.632212074671997,145,213,233
927056857785828,64,128,64,12,8.489139710070717,0.67052276121,651.4699999999999,8.489139710070717,0.67052276121,14.885634686116001,14.885634686116001,166,147,246
