order,rob_size,lq_size,sq_size,p_width,energy,performance,time,energy_baseline,performance_baseline
778936361276626,512,64,64,5,5.254854985934053,0.45182298127473997,659.3600000000001,5.254854985934053,0.45182298127473997
778936361276626,256,256,4,9,4.931162033378283,0.37334192563158003,643.5,4.931162033378283,0.37334192563158003
778936361276626,16,64,4,12,14.345534146070168,1.18668297589666,702.4100000000001,14.345534146070168,1.18668297589666
778936361276626,64,16,128,7,7.956485946668563,0.69809946587532,670.66,7.956485946668563,0.69809946587532
778936361276626,16,16,64,10,13.775503037045967,1.1846335955087,701.55,13.775503037045967,1.1846335955087
778936361276626,128,16,128,5,5.207302850942713,0.45523468402398,648.39,5.207302850942713,0.45523468402398
778936361276626,32,256,64,7,9.8194861625106,0.87739485059554,682.58,9.8194861625106,0.87739485059554
778936361276626,128,16,64,11,5.398379663838185,0.40236821113143995,644.64,5.398379663838185,0.40236821113143995
778936361276626,256,4,64,4,8.216216328757064,0.7710263995486399,681.0600000000001,8.216216328757064,0.7710263995486399
778936361276626,32,128,4,10,10.345769955145391,0.8715101750742,686.22,10.345769955145391,0.8715101750742
779485284485258,512,16,256,7,4.732167160508103,0.37180671740886,669.3100000000001,4.732167160508103,0.37180671740886
779485284485258,64,4,16,9,8.420124513026002,0.7117119374825,681.4399999999999,8.420124513026002,0.7117119374825
779485284485258,16,16,64,8,13.332775154746871,1.19267672149618,710.36,13.332775154746871,1.19267672149618
779485284485258,64,16,128,9,8.153129138571748,0.68372540338446,689.76,8.153129138571748,0.68372540338446
779485284485258,16,128,64,10,13.799724513207135,1.1846335955087,724.52,13.799724513207135,1.1846335955087
779485284485258,128,16,64,7,5.120744970440067,0.42406659386615997,666.12,5.120744970440067,0.42406659386615997
779485284485258,512,16,4,7,4.713138031098175,0.37264497142492004,667.53,4.713138031098175,0.37264497142492004
779485284485258,64,16,256,11,8.37915703687916,0.6700308653940399,681.36,8.37915703687916,0.6700308653940399
779485284485258,128,256,64,9,5.215659418079873,0.40797561790298,667.0200000000001,5.215659418079873,0.40797561790298
